,Question,Answer,Class
0,document require open current account sole proprietorship firm,Following documents are required to open a Current Account of a sole proprietorship entity: Proof of existence in the name of firm Proof of address in the name of firm KYC of the proprietor Any two of the below listed documents shall be obtained for establishing proof of existence. Registration certificate/license issued by Municipal authorities such as Shop & Establishment Certificate/Trade License CST/VAT/Service Tax Certificate or Letter Of Registration for CST/VAT/Service Tax Certificate/Registration document issued by Professional Tax authorities Valid Business License or Certificate Of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) RBI/SEBI Registration Certificate License issued by Food and Drug Control Authorities Import - Export certificate (IEC Code) issued by the Director General of Foreign Trade Documents for establishing proof of address Landline telephone bill/electricity bill of public & approved private operators in the state. (Bills not to be older than 4 months from the date of account opening) Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered TAN Allotment Letter issued in the name of the firm Latest property tax or water tax paid receipt/bill raised in the name of the firm Existing bank account statement or passbook of a PSU/private sector/foreign bank. Statement not older than 4 months from the date of account opening to be accepted ** This is only indicative list. Please visit your nearest branch for details View more,0
1,transfer current account branch,"Yes, Current Accounts can be transferred from one branch to another. However, there are certain restrictions. Please visit your nearest branch for details.",0
2,present status nri extra document require open sole proprietorship current account,NRI/PIO can open the proprietorship/partnership firm subject to following customer declaration (which needs to be taken from the customer): Amount is invested by inward remittance or out of NRE/FCNR/NRO account maintained with AD bank (from the Current Account of the customer). The firm or proprietary concern is not engaged in any agricultural/plantation or real estate business (i.e. dealing in land and immovable property with a view to earning profit or earning income there from) or print media sector. Amount invested shall not be eligible for repatriation outside India. The above should be clearly mentioned in the declarations given by the customer. View more,0
3,document require open current account limited liability partnership,"Following documents are required for opening a Current Account of Limited Liability Partnership: Incorporation Document, Limited Liability Partnership Agreement Certificate of Incorporation List of all existing Designated Partners of LLP along with Designated Partner Identification Number (DPIN) issued by the Central Government Resolution passed at the meeting of Designated Partners for the particular relationship, which the LLP plans to have with the bank KYC of Designated Partners/Authorised Signatories View more",0
4,document require change address entity,Following documents are required to change the address of an entity:Request letter for address change signed by the Proprietor/Partner/Authorised Signatory (in case of a company)Along with following list of documents: Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) Property Ownership Deed i.e. the title deeds of the property in the name of the firm duly stamped and registered TAN Allotment Letter issued in the name of the firm Latest property tax or water tax paid receipt/bill raised in the name of the firm Existing bank account statement or passbook of a PSU/private sector /foreign bank. (Statement not older than 4 months from the date of account opening to be accepted; ** This is only an indicative list. Please visit your nearest branch for details View more,0
5,document require open current account company,Following documents are required for opening Current Account of a company: Private Limited Companies - Memorandum of Association (MOA) - Articles of Association (AOA) - Certificate of Incorporation - Latest list of directors duly signed by any Director/Company Secretary /Authorised Signatory - Board Resolution (BR) duly signed by the directors of the company. Limited Companies - Memorandum of Association (MOA) - Articles of Association (AOA) - Certificate of Incorporation - Certificate of Commencement of Business - Latest list of directors duly signed by any Director/Company Secretary/Authorised Signatory - Board Resolution (BR) duly signed by the Directors/Company Secretary of the Company View more,0
6,partner partnership firm,"Partners must be major (above the age of 18), should be sane and should not be disqualified by law from entering into a contract.",0
7,time take realize outstation cheque,"The indicative time taken for the realization of outstation cheques is given below: Cheques drawn where M&N  Bank has a branch, credit will be given on receipt of clear funds in: Main metro locations (Mumbai, Chennai, Kolkata, New Delhi): 7 working days Metro centers and state capitals (other than those of North Eastern states and Sikkim): Maximum period of 10 working days. In all other centres where we have branches: maximum period of 14 working days. Cheques drawn on non-branch locations where we have a tie-up with correspondent banks, credit will be given on receipt of clear funds: Within a maximum period of 14 working days Cheques drawn on non-branch locations where we do not have a tie-up with correspondent banks, credit will be given on receipt of clear funds: Within a maximum period of 14 working days For more details on the outstation cheque collection policy, click here. For other queries, Contact Us. View more",0
8,individual open current account,"Yes. Documentation will be that of an individual, i.e. identity proof and address proof.Click here for documentation required for opening individual a Current Account.",0
9,eefc account open special economic zone sez unit,"No, SEZ Units cannot open EEFC accounts.",0
10,case unable access company current account,"If you are unable to access your company Current Account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in the name of the Company as well as each of the Authorized Signatory(ies). The Authorised Signatory(ies) is distinct and has to be used to access NetBanking for the Company Account. For more details, Contact Us",0
11,transaction include free intercity clearing limit,The following transactions comprise part of the free Inter-city clearing Limit: Cheques deposited into your account in other cities (in Local Clearing/within Bank) Inter-city payable-at-par cheque issuances View more,0
12,mn bank premium different regular offer bank,An M&N  Bank Premium Current Account offers you a host of features that sets it apart from any regular Current Accounts that most banks offer.These features are: Free Intercity Clearing between M&N  Bank Branch Locations Up to 100 free payable-at-par cheque leaves per month View more,0
13,open premium current account location company office,"No. As a Premium Current account holder you have the advantage of a single account, multi-location banking facility.",0
14,access premium current account mn bank branch,"Yes, you can. Our advanced technology provides you with the flexibility of accessing your account from any of our branches.",0
15,premium current account payment supplier mn bank branch single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",0
16,access account telephone conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book View more,0
17,include bulk transaction,"Bulk transactions include: Local Clearing Transactions Anywhere Clearing Transactions Local Fund Transfer Transactions Anywhere Fund Transfer Transactions, View more",0
